Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.203208,-0.691775,-9.751733,-0.008738,-0.028757,0.044383
0.055366,-0.676811,-9.684845,-0.013248,-0.05468,0.000532
0.131083,-0.651073,-9.602694,-0.03307,-0.073231,-0.029873
0.151583,-0.575057,-9.670779,-0.035112,-0.058327,0.019871
-0.150685,-0.563386,-9.814581,-0.012952,-0.020738,-0.010343
0.005986,-0.645088,-9.608231,-0.014543,-0.049129,-0.070297
0.080206,-0.68115,-9.720459,-0.023919,-0.012904,0.003612
0.034117,-0.704793,-9.645041,-0.028737,-0.031373,-0.013321
-0.009128,-0.625036,-9.770887,-0.039652,-0.020498,-0.049127
0.300472,-0.669329,-9.854085,0.007614,-0.025024,0.005628
0.071676,-0.682347,-9.864709,0.029293,0.022937,0.009823
0.380528,-0.78859,-9.669732,0.011241,0.026586,0.060569
0.042198,-0.711228,-9.637859,-0.008706,-0.011961,0.008286
0.075118,-0.742801,-9.717915,0.000595,0.001311,0.028324
0.106991,-0.684293,-9.699061,-0.01841,0.007915,0.051087
0.081852,-0.634015,-9.829694,0.029417,-0.019095,0.04948
-0.011522,-0.644938,-9.717316,-0.013366,-0.003167,0.059897
-0.096367,-0.593463,-9.758616,-0.000305,-0.010073,0.035227
-0.139313,-0.547524,-9.687538,0.013106,0.024087,0.033656
-0.081552,-0.672471,-9.650129,0.028799,0.005795,0.015555
-0.183306,-0.82181,-9.574263,-0.016479,0.000974,-0.005116
-0.081552,-0.730082,-9.694871,-0.013955,0.001726,-0.022532
-0.045939,-0.723498,-9.627534,-0.020069,0.003099,-0.019543
0.036512,-0.612467,-9.786449,-0.021376,-0.01135,-0.021589
-0.117615,-0.574459,-9.866804,0.014822,0.006941,-0.026787
0.083947,-0.686388,-9.623344,0.011047,0.043485,0.006531
-0.000449,-0.657957,-9.630975,0.007217,-0.018676,-0.000817
-0.29748,-0.745943,-9.689184,-0.007798,0.054015,-0.017695
0.096067,-0.649726,-9.652224,0.016511,0.051193,-0.014576
