MagneticFieldx,MagneticFieldy,MagneticFieldz
3.309708,-102.392242,-168.133591
3.147446,-102.31308,-168.13298
3.377014,-102.425903,-168.512009
3.047668,-102.414185,-168.337387
2.949341,-102.469421,-168.198029
2.992172,-102.428696,-168.133575
2.810669,-102.123108,-167.852112
2.970093,-102.476105,-168.263947
3.008499,-102.382645,-168.111359
2.927536,-102.435165,-167.769424
3.232971,-102.540649,-168.108154
2.999313,-102.360626,-168.540833
2.9897,-102.845276,-168.504196
2.876007,-102.202484,-168.459137
3.098663,-102.187927,-168.411606
2.969757,-102.111374,-168.622543
3.34726,-102.070786,-167.966949
3.131165,-101.975418,-167.83371
2.901474,-101.954926,-167.548004
3.2155,-102.461456,-167.401886
3.242386,-102.059433,-167.628296
2.478333,-101.671265,-167.627335
3.022934,-101.95462,-167.622345
2.922256,-102.072952,-167.456528
2.942749,-102.115295,-167.745712
3.052048,-102.064087,-167.675583
3.167236,-101.93837,-167.543991
3.274353,-102.12738,-168.046906
3.075775,-102.11319,-168.375015
3.363754,-102.543045,-168.192749
3.438522,-102.37674,-168.164948
3.188507,-102.436691,-168.185944
3.177963,-102.374008,-167.538559
3.301895,-102.417648,-167.866531
3.276123,-102.130798,-168.062378
2.991638,-102.206696,-167.92511
2.940353,-102.160248,-167.667877
2.919449,-102.252319,-167.894165
2.997803,-102.204636,-167.743179
3.149841,-102.244141,-168.06514
3.344147,-102.105133,-167.44809
2.852173,-101.938095,-167.633362
3.329132,-102.347916,-167.413132
3.135132,-102.290054,-167.473587
3.364655,-102.069702,-167.504974
3.078979,-102.01326,-167.583679
3.264282,-102.020187,-167.715652
3.330582,-102.032242,-167.506378
3.413681,-101.970474,-167.799683
3.126602,-101.846283,-167.804932
3.43277,-102.094055,-167.490997
3.462341,-101.908035,-167.996216
3.690353,-101.800797,-167.637985
3.375854,-102.053116,-167.604477
3.471802,-101.859726,-167.593719
3.348007,-101.667023,-167.235229
3.334854,-102.045609,-167.554092
3.574997,-101.695602,-168.022919
3.732681,-102.016464,-167.768967
3.478531,-101.69046,-167.727997
3.406372,-101.540634,-167.71936
3.584396,-101.768326,-168.079315
3.477524,-101.830963,-167.293152
3.644806,-102.225632,-167.54245
3.304871,-101.722534,-167.810577
3.368073,-101.989105,-167.249512
3.236313,-102.054474,-167.548264
3.503845,-102.203674,-167.822037
3.535172,-102.119186,-168.030304
3.511719,-102.02594,-167.71373
3.105225,-102.103149,-168.231628
3.119522,-102.119629,-168.06514
2.933624,-102.136581,-167.742661
3.194412,-102.530716,-167.924728
3.595581,-102.418671,-168.02301
3.414703,-102.075455,-168.498505
3.595123,-102.232819,-167.933853
3.456055,-102.327011,-167.631226
3.800018,-102.290237,-167.917999
3.558319,-102.149429,-167.740189
3.81665,-101.828171,-167.773621
3.829575,-102.372574,-167.769699
3.662338,-102.199905,-167.779999
3.882782,-102.112289,-168.176895
3.515671,-102.234344,-167.664444
3.24527,-102.037125,-167.888962
3.458923,-102.292511,-167.771561
3.62561,-102.112885,-167.926422
3.659866,-101.926956,-168.027222
3.370956,-102.097534,-168.036636
3.480637,-101.953186,-167.489258
3.476654,-102.284119,-168.039032
3.492752,-102.280945,-167.701813
3.658691,-102.139099,-167.64595
3.800201,-102.129227,-167.761246
3.453766,-102.345383,-167.667618
3.800339,-102.183517,-167.908401
3.417053,-102.37085,-167.700195
3.337006,-102.031036,-167.782532
3.365082,-102.298676,-167.179794
3.609756,-102.032425,-167.367798
3.801071,-102.173431,-167.564438
3.739456,-101.784195,-167.678818
3.818085,-101.635818,-167.281052
3.893524,-101.722183,-167.61319
3.915512,-101.784943,-167.670731
4.147446,-102.050018,-167.78891
3.870163,-102.197983,-168.054337
3.39003,-101.737335,-167.989639
3.77536,-101.742767,-167.804611
3.66391,-101.667175,-167.209946
3.400681,-101.680618,-167.674515
3.46431,-101.934982,-167.860901
3.714508,-102.111374,-167.630844
3.651321,-101.909134,-168.057755
3.372437,-101.947006,-168.113373
3.688599,-102.176102,-167.851532
3.858948,-102.179489,-167.783249
3.583069,-102.202805,-167.200745
3.774521,-102.022766,-167.905334
4.044586,-102.179626,-167.449142
3.901138,-101.92955,-167.238892
3.702652,-101.749237,-167.270706
3.73053,-101.829453,-167.95166
3.93367,-102.200989,-167.53299
3.765091,-101.798645,-167.476685
3.788651,-101.626007,-167.557419
3.801788,-101.750931,-167.778336
3.735825,-102.056458,-167.711639
3.572021,-101.734009,-167.894913
3.769058,-102.167923,-167.32254
3.710114,-101.737457,-167.146683
3.773254,-101.917694,-167.542221
3.891953,-101.990067,-167.762329
4.037201,-101.699142,-167.977859
3.727829,-101.946228,-167.270737
3.741669,-102.125488,-166.7845
3.597183,-101.945847,-167.290634
3.619278,-101.932785,-167.290344
4.057312,-101.929306,-167.218155
3.600037,-101.634079,-166.894348
3.949768,-102.046432,-167.602325
4.049881,-101.911118,-167.620239
4.065567,-101.948914,-167.458603
3.85611,-101.891968,-167.538422
4.088028,-102.530426,-167.279053
3.808411,-102.001282,-167.837952
4.157166,-102.322083,-167.576279
3.939316,-102.017807,-167.548416
3.958801,-102.050949,-168.208954
3.815506,-102.071777,-167.72406
3.867737,-102.194504,-167.138901
3.690582,-102.218231,-167.609314
3.84462,-101.860886,-167.555756
3.940399,-102.05307,-167.377045
3.878677,-102.121597,-167.414566
3.901718,-102.065887,-167.398315
4.209244,-102.115784,-166.717163
3.879578,-102.401871,-168.036209
3.774918,-102.176437,-167.62587
3.825745,-102.055283,-167.549484
3.771408,-102.105072,-167.668579
3.686462,-102.124054,-167.55397
3.616043,-102.140915,-167.212051
4.031937,-101.71666,-168.03418
