Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.185551,0.029479,-9.727192,-0.004964,0.007809,0.002599
0.149937,0.055516,-9.738266,-0.007606,0.007985,0.002386
0.138415,0.023044,-9.743503,-0.006621,0.010584,0.003318
0.171634,0.050278,-9.730484,-0.0046,0.008561,0.003893
0.149488,0.022595,-9.74455,-0.005327,0.008693,0.00161
0.133776,0.050278,-9.744999,-0.004827,0.009486,0.001994
0.168791,0.026785,-9.739313,-0.006681,0.009424,0.002345
0.150087,0.050428,-9.737966,-0.005986,0.003837,0.001873
0.14021,0.027384,-9.746346,-0.008535,0.01124,0.002629
0.169988,0.036661,-9.721057,-0.00405,0.007993,0.003049
0.154276,0.029479,-9.754726,-0.003796,0.006904,0.000773
0.137068,0.029928,-9.733328,-0.00566,0.008136,0.000895
0.162806,0.043844,-9.705046,-0.00609,0.008758,0.00205
0.160412,0.025887,-9.728988,-0.005236,0.007723,0.001679
0.130634,0.03696,-9.732579,-0.007917,0.007795,0.000846
0.166547,0.018405,-9.728689,-0.007401,0.008479,0.000216
0.160112,0.047435,-9.740959,-0.00775,0.005642,0.00089
0.143802,0.011672,-9.7239,-0.007207,0.00996,0.001247
0.160262,0.059855,-9.735273,-0.004492,0.007107,-0.000123
0.1652,0.013318,-9.71148,-0.004066,0.007603,0.000394
0.128988,0.047734,-9.718962,-0.008727,0.008117,7.4e-05
0.165499,0.023194,-9.723152,-0.005053,0.008285,-0.001508
0.158317,0.046837,-9.71148,-0.003262,0.007429,0.000572
0.133626,0.033519,-9.74066,-0.006482,0.01113,0.000747
0.165499,0.031873,-9.72405,-0.006956,0.007819,0.001064
0.162357,0.05357,-9.731382,-0.002815,0.008272,0.001186
0.148141,0.01242,-9.756821,-0.005463,0.007542,0.001125
0.154276,0.055964,-9.726594,-0.003962,0.009347,0.002788
0.16101,0.027683,-9.740809,-0.006497,0.009753,0.000516
0.146046,0.025289,-9.758467,-0.006864,0.009446,0.001979
0.158167,0.027982,-9.735273,-0.005476,0.007235,0.001074
0.180164,0.03696,-9.747693,-0.003788,0.006865,0.00071
0.154426,0.047285,-9.737069,-0.005774,0.005708,0.003134
0.147992,0.033519,-9.738116,-0.002393,0.009932,0.002491
0.171485,0.032022,-9.74066,-0.005721,0.009113,0.003196
0.153379,0.022146,-9.741707,-0.006816,0.005299,0.000182
0.152032,0.039504,-9.751134,-0.005608,0.008734,0.000599
0.173131,0.032322,-9.745149,-0.007637,0.009808,0.00144
0.144101,0.025438,-9.748591,-0.004025,0.005972,0.003345
0.134674,0.032621,-9.731831,-0.004937,0.010062,0.002859
0.167893,0.034267,-9.729736,-0.006042,0.009489,-8e-05
0.150087,0.038158,-9.72824,-0.005555,0.008488,0.001733
0.146944,0.043096,-9.741408,-0.005485,0.009986,0.001316
0.176572,0.019453,-9.733328,-0.006978,0.007236,0.004249
